date,요일,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg)
2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,토요일,80860.0,329.0,80272.0,360.0,122787.5,1281.0,15019.0,5475.0,92334.0,1704.0,4374.9,13242.0,16550.5,2339.0,10528.0,1729.0,3853.0,3703.0,30950.0,1621.0
2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,월요일,1422742.5,478.0,1699653.7,382.0,2315079.0,1235.0,141638.0,5210.0,994328.1,1716.0,122613.5,9923.0,427435.1,2153.0,82113.5,3960.0,104930.3,4871.0,291057.0,1834.0
2016-01-05,화요일,1167241.0,442.0,1423482.3,422.0,2092960.1,1213.0,126207.8,5387.0,787716.0,1715.0,79055.9,9529.0,334636.8,2220.0,80144.0,3333.0,100699.5,5129.0,194626.5,1833.0
2016-01-06,수요일,1045507.5,442.0,1904372.1,409.0,1860569.0,1263.0,91531.0,5013.0,793584.9,1620.0,78532.8,8123.0,357749.8,2219.0,76832.6,3133.0,93051.3,5120.0,178811.0,1999.0
2016-01-07,목요일,1039925.0,448.0,1438990.2,428.0,1868011.7,1241.0,349913.8,4360.0,733312.0,1545.0,75987.7,6793.0,323944.6,2208.0,49040.9,2259.0,60895.4,5095.0,107346.3,1921.0
2016-01-08,금요일,942655.0,420.0,1563537.8,390.0,1483395.0,1218.0,71284.7,4850.0,797767.3,1488.0,79078.7,5644.0,341967.7,2033.0,70512.3,2106.0,65819.2,6191.0,190624.0,2107.0
2016-01-09,토요일,689121.0,389.0,1723983.9,345.0,1107262.5,1210.0,65746.0,4527.0,739213.0,1433.0,74088.1,5128.0,309096.2,2104.0,60824.6,2109.0,51436.2,6025.0,137028.0,2111.0
2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,월요일,1161028.0,398.0,1940798.7,336.0,1651529.5,1215.0,65579.5,4956.0,904317.5,1323.0,97151.3,5218.0,370402.6,2096.0,64987.2,2891.0,63485.3,7090.0,199396.0,2170.0
2016-01-12,화요일,730460.1,431.0,1748847.8,309.0,1606583.0,1161.0,94680.5,5083.0,773384.3,1321.0,67584.4,5263.0,331065.7,2072.0,58316.0,3180.0,63428.5,7264.0,170969.0,2281.0
2016-01-13,수요일,642654.0,429.0,1416822.0,307.0,1211231.0,1166.0,67457.0,5138.0,657071.5,1263.0,61144.8,5302.0,266067.6,2015.0,49868.5,3404.0,48656.2,7113.0,162336.0,2488.0
2016-01-14,목요일,777445.9,441.0,1412984.0,306.0,1313759.0,1148.0,434987.4,3787.0,583850.6,1361.0,64268.3,5283.0,292578.5,2199.0,19971.2,2317.0,57537.8,7099.0,103103.0,2344.0
2016-01-15,금요일,793655.0,449.0,1437415.0,307.0,1187834.0,1146.0,90583.9,4394.0,678290.4,1335.0,69141.1,5251.0,309816.7,2031.0,71290.8,3119.0,51510.6,8408.0,180422.8,2436.0
2016-01-16,토요일,537832.1,454.0,1033808.0,306.0,990370.5,1150.0,62071.0,4728.0,611784.6,1339.0,71171.3,5391.0,284958.5,2065.0,64451.5,3373.0,37379.0,9401.0,146096.4,2473.0
2016-01-17,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
