no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
1,536824B002,해남군 옥천면,2015-01-01,-1.3,0.6,-2.9,80,295.2,2.3,0.8,,7.8,,,3.36,25.9
1,330846A001,천안시 목천읍,2015-01-01,-6.2,-3.8,-8.3,,,0,0,,,1429,,,
1,627911A001,밀양시 상남면,2015-01-01,-3.2,0.2,-7.2,40.1,282.7,2.9,0,516,11,0,,2.2,28.5
1,539823A001,진도군 군내면,2015-01-01,-0.8,1.6,-2.8,79.2,257,3.5,1.5,217,8.2,652,,5.02,30.6
1,590823A001,남원시 이백면,2015-01-01,-4.1,-1.3,-6,60.7,286.7,2.1,0.5,310,7.7,0,-4.3,2.16,20.3
1,429843A001,시흥시 하중동,2015-01-01,-6,-3.8,-7.9,46.3,298.5,1.6,0,332,9.3,,,,
1,742290A001,상주시 초산동,2015-01-01,-5.8,-2.2,-8.8,46.1,262.3,2.6,0,130,10,0,-6,2.8,38.7
1,635821A001,창녕군 대지면,2015-01-01,-3.4,-0.1,-8.6,43.5,342.5,3.1,0,538,9.1,0,-3.6,1.38,
1,618803A001,부산시 강서구,2015-01-01,-1.8,0.9,-4.4,43,299.1,4.1,0,,21.3,0,,4.34,16.1
1,487915A001,포천시 신북면,2015-01-01,-8.8,-5.5,-11.6,50.3,92,1.2,0,541,21.3,,-8.8,,24.1
1,269811A001,철원군 동송읍,2015-01-01,-8.5,-5.7,-10.7,56.5,219.5,3,0,,11.3,0,-4.6,1.28,
1,714902A001,청도군 화양읍,2015-01-01,-4.4,-0.6,-7.6,42.8,,0,0,511,13.1,0,,,
1,660985B001,진주시 초전동,2015-01-01,-2.3,-0.2,-5.4,46.3,326.9,3.8,0,,11.1,0,,1.14,29.8
2,618803A001,부산시 강서구,2015-01-02,-1.4,3.6,-6.3,51.6,284.8,3.2,0,,20.2,0,,3.8,15
2,487915A001,포천시 신북면,2015-01-02,-8.5,-2.5,-13.4,64.6,86.2,0.8,0,545,21.9,,-8.5,,24.3
2,269811A001,철원군 동송읍,2015-01-02,-8,-2.8,-12.5,66.5,227.5,2,0,,11.4,0,-4.6,1.15,
2,714902A001,청도군 화양읍,2015-01-02,-4.8,0.9,-11,54.9,,0,0,420,9.7,0,,,
2,330846A001,천안시 목천읍,2015-01-02,-5.6,-1.2,-10.7,,,0,0,,,1429,,,
2,539823A001,진도군 군내면,2015-01-02,1.9,6,-0.9,65.1,274,3.9,0,186,6.8,100,,4.97,32.3
2,590823A001,남원시 이백면,2015-01-02,-4.2,-0.4,-8.9,82.1,266.4,1.1,0,186,5.6,269,-4.1,1.99,20
2,429843A001,시흥시 하중동,2015-01-02,-4.9,-0.6,-8.6,53.1,295.5,0.7,0,292,8.7,,,,
2,635821A001,창녕군 대지면,2015-01-02,-5.1,2,-10.8,63.6,344.2,1.3,0,497,7.5,0,-4.6,1.07,
2,660985B001,진주시 초전동,2015-01-02,-2.9,3,-8.1,65.8,353,1.8,0,,9.4,0,,0.7,28.9
2,536824B002,해남군 옥천면,2015-01-02,0.8,6,-5.3,72,292,1.7,0.8,,7.9,,,3.49,26.9
2,742290A001,상주시 초산동,2015-01-02,-4,0.7,-7.7,51.9,253.6,1.6,0,105,9.4,0,-4,2.8,38.5
2,627911A001,밀양시 상남면,2015-01-02,-3.8,2.8,-9.5,53.3,279.8,1.8,0,521,10.6,0,,1.52,28.4
3,429843A001,시흥시 하중동,2015-01-03,-3.3,3,-11.4,65.6,,0,0,303,8.8,,,,
3,330846A001,천안시 목천읍,2015-01-03,-5.1,1.9,-12.3,,,0,0,,,1429,,,
3,627911A001,밀양시 상남면,2015-01-03,-2.4,6.5,-10.1,48.1,221.1,1,0,524,11,0,,1.1,28.2
3,618803A001,부산시 강서구,2015-01-03,-0.4,6.2,-6.1,45.9,269.3,2.4,0,,22.4,0,,3.53,14.8
3,487915A001,포천시 신북면,2015-01-03,-6.4,1.4,-15.2,71,254.8,0.5,0,483,17.7,,-6.4,,24.5
3,742290A001,상주시 초산동,2015-01-03,-2.8,3.3,-9.9,56,234.3,1.1,0,117,9.7,0,-3.1,2.71,37.9
3,539823A001,진도군 군내면,2015-01-03,0.9,7,-3.9,77.6,208,0.5,0,439,10.6,362,,4.74,33.1
3,590823A001,남원시 이백면,2015-01-03,-4.6,3.6,-11.4,79.3,183.4,0.7,0,487,10,471,-3.9,1.68,19.2
3,635821A001,창녕군 대지면,2015-01-03,-3.7,5.3,-11.8,58.9,347.1,0.9,0,514,9.2,0,-3.3,0.69,
3,660985B001,진주시 초전동,2015-01-03,-3,6.1,-10.2,63.7,205.6,0.1,0,,10.6,0,,0.44,28.2
3,536824B002,해남군 옥천면,2015-01-03,-1,6,-7.8,81.4,311,0.4,0,,10.4,,,2.57,26.9
3,714902A001,청도군 화양읍,2015-01-03,-3.6,6.2,-12.2,52.1,,0,0,516,12.7,0,,,
3,269811A001,철원군 동송읍,2015-01-03,-6.4,1.1,-15.5,76.4,108.4,1.5,0,,11,0,-4,0.99,
1,534833E001,무안군 청계면,2015-01-03,3.3,6.4,0.7,71.3,42.2,0.2,0,222,3.8,,2.8,3.77,5
4,536824B002,해남군 옥천면,2015-01-04,3.2,11.7,-2.5,85,303,0.4,0,,9.5,,,3.38,26.8
4,269811A001,철원군 동송읍,2015-01-04,0.5,5.2,-4.9,91.8,118.1,1.1,0,,6.2,0,-0.8,0.9,
4,429843A001,시흥시 하중동,2015-01-04,2.7,8.2,-2.6,77.7,121.8,0,0,70,5.6,,,,
4,330846A001,천안시 목천읍,2015-01-04,1.1,9.4,-4.4,,,0,0,,,1429,,,
